author_country,author_link,author_name
 Philippines ,https://www.dafont.com/rex-revol.d5117,Rex Revol (^_^) - Rex Revol
 Philippines ,https://www.dafont.com/toto.d3205,Toto
 Philippines ,https://www.dafont.com/valerie-harley-jiongco.d5152,Valerie Harley Jiongco
 Netherlands ,https://www.dafont.com/giso-spijkerman.d1754,10voor2 - Giso Spijkerman
 Netherlands ,https://www.dafont.com/miriam-van-vuuren.d5635,3DeeMin
 Netherlands ,https://www.dafont.com/aart-doe.d2126,Aart Rost
 Netherlands ,https://www.dafont.com/adele-houssin.d4149,Adèle Houssin
 Netherlands ,https://www.dafont.com/amal-elmourabet.d3627,Amal elMourabet
 Netherlands ,https://www.dafont.com/anke-van-der-meer.d4711,Anke van der Meer
 Netherlands ,https://www.dafont.com/bart-deruiter.d4372,Bart DeRuiter
 Netherlands ,https://www.dafont.com/baukjespirit.d4467,BaukjeSpirit
 Netherlands ,https://www.dafont.com/beery.d5349,beery
 Netherlands ,https://www.dafont.com/social-animal.d1650,bonafide ontwerp - Bas Bouwense
 Netherlands ,https://www.dafont.com/aron-veraart.d5773,Boom Type
 Netherlands ,https://www.dafont.com/rainbow-dudes-3.d4536,Cirthael
 Netherlands ,https://www.dafont.com/zenze-b-v.d2648,Cleanvertising.com - Cleanvertising
 Netherlands ,https://www.dafont.com/coert-wigbels.d1967,Coert Wigbels
 Netherlands ,https://www.dafont.com/christine.d6886,Cynesthetic - Christine
 Netherlands ,https://www.dafont.com/david-fens.d5063,David
 Netherlands ,https://www.dafont.com/david-den-ouden.d7311,David den Ouden
 Netherlands ,https://www.dafont.com/roberto-dias-da-silva.d2962,Deconditoned Reflex Design - Roberto  Dias da Silva
 Netherlands ,https://www.dafont.com/donald-beekman.d1867,Donald Beekman
 Netherlands ,https://www.dafont.com/jack-van-der-vaart.d3340,dragon winter
 Netherlands ,https://www.dafont.com/paul-ijsendoorn.d2557,DrawPerfect - Paul IJsendoorn
 Netherlands ,https://www.dafont.com/ellen-landman.d4350,Ellen Landman
 Netherlands ,https://www.dafont.com/elmigo.d3951,Elmigo
 Netherlands ,https://www.dafont.com/enso.d7018,enso
 Netherlands ,https://www.dafont.com/erik-hannink.d6281,Erik Hannink
 Netherlands ,https://www.dafont.com/ersen-akkaya.d1577,Ersen Akkaya
 Netherlands ,https://www.dafont.com/dave-huizing.d6319,Evad - Dave Huizing
